rho,final_k,p
0.006637465,5,4
0.006852348,8,4
0.006598181,7,4
0.054853748,2,4
0.008646876,4,4
0.008696297,1,4
0.006021257,1,4
0.007782278,7,4
0.006914687,4,4
0.003106052,1,4
0.007282578,7,4
0.006709655,1,4
0.008414211,3,4
0.008209968,7,4
0.006275685,3,4
0.005749502,5,4
0.005444513,3,4
0.00794975,1,4
0.006589244,6,4
0.004832205,1,4
0.008401271,7,4
0.004943941,10,4
0.009815184,5,4
0.008042328,7,4
0.004964738,8,4
0.005622544,14,4
0.009417908,11,4
0.005007182,10,4
0.008588784,4,4
0.007955763,1,4
0.008574371,4,4
0.006247883,1,4
0.004133607,10,4
0.007307725,1,4
0.005303512,1,4
0.011799114,4,4
0.013491268,1,4
0.009320067,5,4
0.013574604,1,4
0.004128402,10,4
0.00383908,1,4
0.017095392,1,4
0.004639156,1,4
0.005859905,1,4
0.00244351,10,4
0.004337143,1,4
0.004419419,3,4
0.00766972,5,4
0.006629755,13,4
0.008372999,7,4
0.004642002,5,4
0.004134089,10,4
0.007143608,3,4
0.005784578,7,4
0.005809572,12,4
0.008883392,8,4
0.007907837,1,4
0.005857006,4,4
0.006629425,9,4
0.009902455,7,4
0.006080383,1,4
0.010789431,1,4
0.008261611,17,4
0.004780693,1,4
0.00824957,6,4
0.007481802,12,4
0.006463552,1,4
0.012976101,1,4
0.005739823,7,4
0.008325646,9,4
0.00418089,10,4
0.005831187,9,4
0.009752394,9,4
0.001665602,10,4
0.009977066,7,4
0.005689799,1,4
0.005973978,5,4
0.004963581,10,4
0.007568799,4,4
0.007470029,1,4
0.00498607,10,4
0.002491111,10,4
0.006609938,9,4
0.004942533,6,4
0.005916754,1,4
0.009768277,4,4
0.003318146,10,4
0.00652502,14,4
0.006653111,7,4
0.006669106,3,4
0.005745115,1,4
0.011750031,1,4
0.011773416,1,4
0.007538303,3,4
0.007413175,12,4
0.006805856,1,4
0.004984994,10,4
0.00478263,1,4
0.00330875,10,4
0.007089398,1,4